pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-11-009,SHA-11-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 10.8 by 14.9,1966,"Ethiopia, Addis Ababa",Haile Selassie in crowd,,yes,no,no
SHA-11-010,SHA-11-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 12.1 by 16.2,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-011,SHA-11-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12 by 16,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-012,SHA-11-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.9 by 20.3,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-013,SHA-11-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.5 by 20.6,1966,"Kenya, Nairobi",Sudanese Ambassador Sayed Mirghani and Kenyan government officials welcoming Harambe ,,yes,no,no
SHA-11-014,SHA-11-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.7 by 20.6,1966,"Ethiopia, Addis Ababa",Haile Selassie with Harambe band members Lucy Muro and Magdalene Anyango,,yes,no,no
SHA-11-015,SHA-11-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.7 by 20.6,1966,"Ethiopia, Addis Ababa",Reception of Harambe band at airport with lion,,yes,no,no
SHA-11-016,SHA-11-016,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.4 by 20.4,1966,Khartoum,Reception of Harambe band with Sadiq al Mahdi,,yes,no,no
SHA-11-017,SHA-11-017,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.7,1966,"Ethiopia, Addis Ababa",Reception of Harambe band at airport with lion,,yes,no,no
SHA-11-018,SHA-11-018,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.3 by 16.5,1966,Khartoum,Reception of Harambe with Za'im al Azhari,,yes,no,no
SHA-11-019,SHA-11-019,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 11.6 by 17.7,1966,"Ethiopia, Addis Ababa",Carriage of Haile Selassie,,yes,no,no
SHA-11-020,SHA-11-020,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 11.6 by 16.4,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-021,SHA-11-021,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 11.4 by 18.1,1966,"Ethiopia, Addis Ababa",Group of soldiers,,yes,no,no
SHA-11-022,SHA-11-022,en,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 15.8 by 20.7,1966,"Ethiopia, Addis Ababa",Commander of Ethiopian Airforce Colonel Aberra Mariam and memberr of Harambe,,yes,no,no
SHA-11-023,SHA-11-023,en,,Sharhabil Ahmed,Sharhabil Ahmed,Sudanese Ministry of Information,photograph 14.6 by 19.8,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-024,SHA-11-024,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 16.6 by 22.4,18/3/1966,"Ethiopia, Bashuftu Military Airport",Reception of Harambe band at airport,,yes,no,no
SHA-12-001,SHA-12-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.9 by 12.8,1988,"Khartoum, Friendship Hall",Sharhabil Ahmed and Harry Balafonte performing,,yes,no,no
SHA-12-002,SHA-12-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.4 by 13.3,1960s,Khartoum,Sharhabil Ahmed and his band including Zakia Abu Gasim,,yes,no,no
SHA-12-003,SHA-12-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-004,SHA-12-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-005,SHA-12-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-006,SHA-12-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-007,SHA-12-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.9 by 15.1,1988,"Emirates, al 'Ain",Sharhabil Ahmed and two others in a bus,,yes,no,no
SHA-12-008,SHA-12-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.7 by 12.6,1984,Libya,Sharhabil Ahmed and Jaylan al Wathiq ,,yes,no,no
SHA-12-009,SHA-12-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.6 by 13.8,1957-1958,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and Kamil Hussain,,yes,no,no
