pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-09-005,SHA-09-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.5,1964,جنوب السودان,فرقة شرحبيل احمد واخرون,,yes,no,no
SHA-09-006,SHA-09-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.2 by 10.5,1964,جنوب السودان,فرقة شرحبيل احمد واخرون,,yes,no,no
SHA-09-007,SHA-09-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.5,1964,ملكال,احمد ابراهيم داوؤد,,yes,no,no
SHA-09-008,SHA-09-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.5,1964,جنوب السودان,فرقة شرحبيل احمد واخرون,,yes,no,no
SHA-09-009,SHA-09-009,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.5,1964,جنوب السودان,فرقة شرحبيل احمد واخرون,,yes,no,no
SHA-09-010,SHA-09-010,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.5,1964,جنوب السودان,شرحبيل احمد وشخص اخر امام طائرة,,yes,no,no
SHA-09-011,SHA-09-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.5 by 10.5,1965,تونس,فرقة شرحبيل احمد واخرون,,yes,no,no
SHA-09-012,SHA-09-012,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.6,1964,جنوب السودان,فرقة شرحبيل احمد واخرون,,yes,no,no
SHA-09-013,SHA-09-013,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.4,1964,جنوب السودان,شرحبيل احمد,,yes,no,no
SHA-09-014,SHA-09-014,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.5,1964,واو,فرقة شرحبيل احمد وشخص اخر,,yes,no,no
SHA-09-015,SHA-09-015,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.4,1964,ملكال,السجناء راقصين,,yes,yes,yes
SHA-10-001,SHA-10-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 9.8,1969-1970,الخرطوم، العمارات,شرحبيل احمد وصديقه راقصان,,yes,no,no
SHA-10-002,SHA-10-002,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 9.8,1969-1970,الخرطوم، العمارات,أصحاب شرحبيل احمد,,yes,no,no
SHA-10-003,SHA-10-003,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 9.8,1969-1970,الخرطوم، العمارات,أصحاب شرحبيل احمد,,yes,no,no
SHA-10-004,SHA-10-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 9.9,1969-1970,الخرطوم، العمارات,أصحاب شرحبيل احمد راقصين,,yes,no,no
SHA-10-005,SHA-10-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 9.10,1969-1970,الخرطوم، العمارات,أصحاب شرحبيل احمد راقصين,,yes,no,no
SHA-10-006,SHA-10-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 9.11,1969-1970,الخرطوم، العمارات,أصحاب شرحبيل احمد راقصين,,yes,no,no
